Time;Object;TileXSize;TileYSize;Variability;Columns;Rows;MultipleX;MultipleY;CladdingSeed;OpeningSeed;MargeX;UpperMargin;LowerMargin;MinOpeningHeight;MinOpeningWidth;DoorNumber;
17:33:22:180;1.;0.3;0.3;0.4;2;2;3;3;9;53;0.3;1.1;0.7;0.6;0.8;1;
17:34:11:943;2.;0;0;0.86;6;5;3;2;66;23;0;0;0;1.62;1.98;4;
17:34:20:550;2.;0;0;0.86;6;2;3;2;66;23;0;0;0;1.62;1.98;4;
17:34:22:558;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.62;1.98;4;
17:34:25:451;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.62;1.98;0;
17:34:28:125;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.62;1.98;1;
17:34:31:170;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.09;1.98;1;
17:34:33:38;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.09;0.83;1;
17:34:34:996;2.;0;0;0.86;2;2;3;2;66;23;0;0;0;1.09;1.05;1;
18:28:50:785;3.1;0.3;0.3;0.2;2;2;3;3;1;1;0.2;0.2;0.8;0.8;0.8;1;
18:28:55:694;3.1;0.3;0.3;0.2;2;2;3;3;5;1;0.2;0.2;0.8;0.8;0.8;1;
18:28:56:128;3.1;0.3;0.3;0.2;2;2;3;3;9;1;0.2;0.2;0.8;0.8;0.8;1;
18:28:56:564;3.1;0.3;0.3;0.2;2;2;3;3;13;1;0.2;0.2;0.8;0.8;0.8;1;
18:28:56:778;3.1;0.3;0.3;0.2;2;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1;
18:29:2:317;3.1;0.3;0.3;0.2;3;2;3;3;17;1;0.2;0.2;0.8;0.8;0.8;1;
18:29:3:985;3.1;0.3;0.3;0.2;3;2;3;3;17;2;0.2;0.2;0.8;0.8;0.8;1;
18:29:4:417;3.1;0.3;0.3;0.2;3;2;3;3;17;3;0.2;0.2;0.8;0.8;0.8;1;
18:29:4:821;3.1;0.3;0.3;0.2;3;2;3;3;17;4;0.2;0.2;0.8;0.8;0.8;1;
18:29:5:153;3.1;0.3;0.3;0.2;3;2;3;3;17;5;0.2;0.2;0.8;0.8;0.8;1;
